tag,active,comment,unit,floating point precision,Type Sub Active,Data Type,Subscription
dbErrors_WaterSystem.SOL_MainWater,True,,,-1,False,udtError_Valve,_Slow
dbErrors_WaterSystem.SOL_MainWater.NoHomeFeedback,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.SOL_MainWater.NoWorkFeedback,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.SOL_MainWater.HomeFeedbackStillActive,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.SOL_MainWater.WorkFeedbackStillActive,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.VFD_WaterPump,True,,,-1,False,udtError_VFD,_Slow
dbErrors_WaterSystem.VFD_WaterPump.MotorProtectorTripped,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.VFD_WaterPump.LocalDisconnectOff,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.VFD_WaterPump.ClutchTripped,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.VFD_WaterPump.NoContactorFeedback,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.VFD_WaterPump.ContactorStillOn,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.VFD_WaterPump.NoSignalForward,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.VFD_WaterPump.NoSignalReverse,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.VFD_WaterPump.MotorNotStopped,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.VFD_WaterPump.MaxFrequencyReached,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.VFD_WaterPump.Overcurrent,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.VFD_WaterPump.MotorOverload,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.VFD_WaterPump.VFDOverload,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.VFD_WaterPump.GeneralFault,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.VFD_WaterPump.NoCoolingFanFeedback,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.AI_WaterPumpPressure,True,,,-1,False,udtError_AnalogInput,_Slow
dbErrors_WaterSystem.AI_WaterPumpPressure.LowLowAlarm,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.AI_WaterPumpPressure.HighHighAlarm,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.AI_WaterPumpPressure.Invalid,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.MTR_ReturnWaterPump,True,,,-1,False,udtError_Motor,_Slow
