tag,active,comment,unit,floating point precision,Type Sub Active,Data Type,Subscription
dbMultiplexing.Valve_Array[0],True,0..3,,-1,False,udtHMI_ValveControl,_Slow
dbMultiplexing.Valve_Array[0].iMode,True,0..3,,-1,False,Int,_Slow
dbMultiplexing.Valve_Array[0].iErrorCode,True,0..3,,-1,False,Int,_Slow
dbMultiplexing.Valve_Array[0].iStatus,True,0..3,,-1,False,Int,_Slow
dbMultiplexing.Valve_Array[0].bPB_ResetError,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[0].bPB_Home,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[0].bPB_Work,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[0].bPBEN_ResetError,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[0].bPBEN_Home,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[0].bPBEN_Work,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[0].bHomeOn,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[0].bWorkOn,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[0].bSignalHome,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[0].bSignalWork,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[0].bError,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[0].bInterlock,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[1],True,0..3,,-1,False,udtHMI_ValveControl,_Slow
dbMultiplexing.Valve_Array[1].iMode,True,0..3,,-1,False,Int,_Slow
dbMultiplexing.Valve_Array[1].iErrorCode,True,0..3,,-1,False,Int,_Slow
dbMultiplexing.Valve_Array[1].iStatus,True,0..3,,-1,False,Int,_Slow
dbMultiplexing.Valve_Array[1].bPB_ResetError,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[1].bPB_Home,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[1].bPB_Work,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[1].bPBEN_ResetError,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[1].bPBEN_Home,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[1].bPBEN_Work,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[1].bHomeOn,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[1].bWorkOn,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[1].bSignalHome,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[1].bSignalWork,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[1].bError,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[1].bInterlock,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[2],True,0..3,,-1,False,udtHMI_ValveControl,_Slow
dbMultiplexing.Valve_Array[2].iMode,True,0..3,,-1,False,Int,_Slow
dbMultiplexing.Valve_Array[2].iErrorCode,True,0..3,,-1,False,Int,_Slow
dbMultiplexing.Valve_Array[2].iStatus,True,0..3,,-1,False,Int,_Slow
dbMultiplexing.Valve_Array[2].bPB_ResetError,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[2].bPB_Home,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[2].bPB_Work,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[2].bPBEN_ResetError,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[2].bPBEN_Home,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[2].bPBEN_Work,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[2].bHomeOn,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[2].bWorkOn,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[2].bSignalHome,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[2].bSignalWork,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[2].bError,True,0..3,,-1,False,Bool,_Slow
dbMultiplexing.Valve_Array[2].bInterlock,True,0..3,,-1,False,Bool,_Slow
